"id","product_uid","product_title","search_term","relevance"
740,100128,"Proslat 32 sq. ft. White Wall Panel Kit","wall pannels",2.67
743,100129,"Sundstrom Safety Silicone Half Mask Respirator","respirator",3
753,100131,"Leaktite 5-gal. Homer Leakproof Lid","paint pails",1.67
784,100138,"Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)","4   lights bulbs",3
787,100138,"Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)","Florescent Light Bulbs",3
791,100138,"Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)","fluorescent light  ballet",1.67
826,100141,"ClosetMaid 36 in. Laminated 2-Door Raised Panel Storage Cabinet in White","white cabinet",3
847,100145,"32 sq. ft. Ultra True Bead Hardboard Paneling","4*8 beadboard paneling",2
862,100148,"Everbilt R-Value 6 Reflective Barrier Water Heater Blanket","water heater blanket",3
894,100150,"4 in. x 4 in. x 4-1/2 ft. Pressure-Treated Pine Double V-Grooved Deck Post","4x4 lumber",3
908,100152,"Cub Cadet 42 in. and 46 in. LTX and XT1 Bagger","cub cadet 42",3
934,100154,"Reddy Heater 26,000 - 30,000 BTU Infrared Dual-Fuel Wall Heater with Blower","incide wall heater",2.67
954,100158,"KOHLER Memoirs Pedestal Combo Bathroom Sink with Classic Design in White","kohler retro pedestal sink combos",2.67
958,100158,"KOHLER Memoirs Pedestal Combo Bathroom Sink with Classic Design in White","pedestal sink combo",3
1008,100167,"Everbilt 3-1/2 in. x 5/8 in. Satin Nickel Radius Door Hinge (3 per Pack)","exterior door hinges",3
1020,100170,"Dyna-Glo Pro 125,000 BTU Forced Air LP Gas Portable Heater","lp gas heaters",2.67
1022,100170,"Dyna-Glo Pro 125,000 BTU Forced Air LP Gas Portable Heater","portable air tank",1.67
1051,100176,"Malibu Low Voltage 50-Watt Black Flood Light","malibu lights",3
1072,100181,"Crosley MDF Parsons Pantry Cabinet in White","pantry rack",2
1084,100184,"Bootz Industries Aloha 5 ft. Right Hand Drain Soaking Tub in White","porcelain",2.33
1098,100189,"Prepac Elite 32 in. Wood Laminate Cabinet in White","cabinets pantry",2.33
1108,100189,"Prepac Elite 32 in. Wood Laminate Cabinet in White","wardrobe closet material",1.33
1121,100193,"Main Door 36 in. x 80 in. Rustic Mahogany Type Prefinished Distressed Solid Wood Speakeasy Prehung Front Door","80 x 36 solid wood",3
1132,100193,"Main Door 36 in. x 80 in. Rustic Mahogany Type Prefinished Distressed Solid Wood Speakeasy Prehung Front Door","louvre door 36 inch",2.33
1146,100194,"DEWALT 20-Volt 3Ah Max Lithium-Ion Battery (2-Pack)","dewalt battery chargers",2.67
1148,100194,"DEWALT 20-Volt 3Ah Max Lithium-Ion Battery (2-Pack)","DEWALT VACCUM",1.67
1159,100196,"Rheem Performance 10 Gal. 6 Year 2000-Watt Single Element Electric Point-Of-Use Water Heater","element for hot wa",2
1165,100197,"Toro 225 mph 390 CFM Electric Super Leaf Blower with Vacuum Shredder","aspiradora",1.33
1185,100201,"Cooper Bussmann GMA 5 Amp Glass Tube Fuse","Fuses",3
1191,100203,"MS International Chiaro Brick 12 in. x 12 in. x 10 mm Tumbled Travertine Mesh-Mounted Mosaic Tile","mosaic  tiles",2.33
1205,100208,"1/2 in. Brass CSST x MIPT Termination Flange","gas tubing",1.67
1227,100212,"WM 356 11/16 in. x 2-1/4 in. x 84 in. Pine Pre-Mitered Casing Set (3-Piece)","door trim",2.33
1237,100216,"Wired Door Bell Contractor Kit","door bell",3
1248,100218,"Sun Joe 14 in. 12 Amp Lawn Electric Mower","bentgrass lawn mower",2.33
1253,100218,"Sun Joe 14 in. 12 Amp Lawn Electric Mower","kobalt electric mower corded",2
1257,100218,"Sun Joe 14 in. 12 Amp Lawn Electric Mower","Lawnmowers",3
1287,100227,"Adjust-A-Gate 2 Rail Gate Frame Kit","fence gates",2.67
1300,100229,"Mission Split 8 in. x 4 in. x 1.63 in. Tumbled Clay Red Flash Paver","clab",2.67
1345,100239,"Rust-Oleum Specialty 1-qt. Biscuit Tub and Tile Refinishing Kit","fiberglass repir kit",2
1348,100239,"Rust-Oleum Specialty 1-qt. Biscuit Tub and Tile Refinishing Kit","rustollum epoxy",2.67
1395,100249,"Hampton Bay Midili 44 in. Brushed Nickel Indoor Ceiling Fan","control celing fan",1.67
1399,100249,"Hampton Bay Midili 44 in. Brushed Nickel Indoor Ceiling Fan","Hampton Bay Ceiling Fan with remote",2.67
1444,100257,"1/4 in. x 3-3/4 in. x 48 in. 100% Aromatic Eastern Red Cedar Planking","cedart board",2.33
1472,100263,"BLACK+DECKER 10 in. 6.5 Amp Electric Corded Pole Chain Saw","pruners",1
1481,100264,"LG Electronics 4.0 DOE cu. ft. High-Efficiency Front Load Washer in White, ENERGY STAR","front load washer and dryer",2.67
1486,100264,"LG Electronics 4.0 DOE cu. ft. High-Efficiency Front Load Washer in White, ENERGY STAR","lg stcking kit",1.33
1490,100264,"LG Electronics 4.0 DOE cu. ft. High-Efficiency Front Load Washer in White, ENERGY STAR","samsung front load dryer",2.67
1492,100264,"LG Electronics 4.0 DOE cu. ft. High-Efficiency Front Load Washer in White, ENERGY STAR","samsung washer pedestal",2.33
1609,100282,"RL Flo-Master 1 Gal. Economy Sprayer","ceiling scraper",1
1617,100282,"RL Flo-Master 1 Gal. Economy Sprayer","weeds spray",2
1627,100284,"CAT 1000-Watt Power Inverter","inverter generator",2.67
1634,100285,"Whirlpool Refrigerator Water Supply Kit","water pex tubing",1.33
1640,100286,"Werner 8 ft. - 10 ft., 22.5 in. x 54 in. Energy Seal Aluminum Attic Ladder Universal Fit with 375 lb. Maximum Load Capacity","maximum load",2.67
1645,100287,"Grip-Rite #11 x 1-1/4 in. Electro-Galvanized Steel Roofing Nails (1 lb.-Pack)","hot-dipped galvanized roofing nails",2.33
1673,100294,"Home Decorators Collection Grafton 25 in. Vanity in Crimson with Granite Vanity Top in Beige","24in vanity",2
1677,100294,"Home Decorators Collection Grafton 25 in. Vanity in Crimson with Granite Vanity Top in Beige","grafton 18 in. vanity",2
1713,100299,"KOHLER Verticyl Rectangle Under-Mounted Bathroom Sink in White","sinks bathroom undermount",3
1721,100302,"FastenMaster 2 in. x 250 lin. ft. Cortex for AZEK Trim Traditional","azek",1.33
1726,100304,"New York Wire 5/16 in. x 48 in. White Aluminum Screen Frame Kit FSP8495-U","screen frame",1.67
1733,100306,"ClosetMaid ShelfTrack 4-Drawer Kit","closet maid shelving upright",2.33
1742,100306,"ClosetMaid ShelfTrack 4-Drawer Kit","shelving closet",2.67
1753,100307,"Rust-Oleum EpoxyShield 2 gal. Gray 2-Part High-Gloss Epoxy Garage Floor Coating Kit","epoxy concrete pain",2.33
1762,100307,"Rust-Oleum EpoxyShield 2 gal. Gray 2-Part High-Gloss Epoxy Garage Floor Coating Kit","rustollum epoxy",2.33
1841,100326,"Defiant 10-Outlet Metal Surge Protector with 15 ft. Cord 45 Degree Angle Flat Plug","metal acute angles",2
1852,100328,"MD Building Products 36 in. x 36 in. x 0.025 in. Diamond Tread Aluminum Sheet in Silver","aluminum diamond tread sheet",2.67
1855,100328,"MD Building Products 36 in. x 36 in. x 0.025 in. Diamond Tread Aluminum Sheet in Silver","metal sheet",2.33
1875,100334,"Dremel Rotary Tool WorkStation","dremel router bit",2
1881,100335,"Owens Corning 25-1/2 in. x 54 in. Attic Stair Insulator II","attic loose fill insulation'",2.67
1914,100341,"Dimex E-Z Connect 4-Piece Premium Landscape Edging Anchoring 9 in. Hook Pack","stakes",2.33
1920,100342,"HDX 150-Watt Incandescent Clamp Light","WORK LAMP",2.67
1922,100343,"Lithonia Lighting 4 ft. Flushmount Ceiling White LED Wraparound Light","4 led shop light",2.67
1961,100350,"Husky 18 in. Rolling Tool Tote","rolling tote container",2.33
1963,100351,"Heath Zenith Wired Lighted Push Button","door bell",2.67
1967,100352,"705 128 oz. Wallpaper Steamer","redwood wall paper",2
1979,100354,"Palruf 24 in. Horizontal Plastic Closure Strips (6-Pack)","Fiberglass roof panel",2.33
1989,100356,"MD Building Products 36 in. x 36 in. Union Jack Aluminum in Silver","doors gaurds",1.67
1998,100357,"Home Decorators Collection HDC Cranbury 24.5 in. W x 22 in. D x 34.25 in. H vanity in Cool Gray with vitreous china vanity top in White","24  bathroom vanities",2.33
2013,100358,"Philips 40-Watt Incandescent T8 Intermediate-Base Light Bulb","appliance bulbs",3
2024,100359,"Wilsonart 48 in. x 96 in. Laminate Sheet in Black Matte","MDF 4x8",1
2029,100361,"1 in. x 8 in. x 10 ft. Common Board","1x8 _8",1
2039,100365,"GE 4.8 cu. ft. Gas Range in White","gas range",2.67
2041,100365,"GE 4.8 cu. ft. Gas Range in White","ge jb605d range",2.33
2047,100367,"Melnor Pulsator Sprinkler with Zinc 2-Way Spikes (2-Pack)","water sprinklers",3
2056,100368,"Niza Pro 2-piece 1.28 GPF Single Flush Round Toilet without Toilet Seat in White","toilet bowl",2.75
2073,100370,"Master Mark Lifetime Professional 40 ft. Recycled Plastic Landscape Lawn Edging No Stakes Required","plastic spikes edging",2.67
2098,100376,"Husky 12 in. Tool Bag","husky tool bag, 12 inch",3
2149,100385,"Home Decorators Collection 22. in. W Granite Top Kitchen Island Cart","kitchen cart",3
2158,100387,"GarageEscape 2 ft. x 4 ft. Paintable Slatwall Easy Panel (2-Piece per Box)","slatwall",2.67
2163,100388,"KOHLER Archer Pedestal Combo Bathroom Sink in White","bathro sinks",3
2182,100390,"Rheem Performance Platinum 40 Gal. Tall 12 Year 40,000 BTU High Efficiency Natural Gas Water Heater","40 gas platinum",3
2211,100395,"Custom Building Products WonderBoard Lite 5 ft. x 3 ft. x 1/4 in. Backer Board","1/4 WonderBoard",2.67
2226,100398,"Teks #8 1 in. External Hex Flange Hex-Head Self-Drilling Screws (170-Pack)","1 black self tapping screws",2
2245,100401,"Ryobi QuickTurn 4-Volt Lithium-Ion 1/4 in. Cordless Screwdriver","ryobi driver",3
2291,100409,"WeatherShield 2 in. x 4 in. x 8 ft. #2 Prime Prime Pressure-Treated Lumber","2x4 board",2.67
2293,100409,"WeatherShield 2 in. x 4 in. x 8 ft. #2 Prime Prime Pressure-Treated Lumber","2x4x12 treated",2.33
2297,100409,"WeatherShield 2 in. x 4 in. x 8 ft. #2 Prime Prime Pressure-Treated Lumber","2x6x8 treated",2.67
2299,100409,"WeatherShield 2 in. x 4 in. x 8 ft. #2 Prime Prime Pressure-Treated Lumber","4x4 lumber",2
2312,100409,"WeatherShield 2 in. x 4 in. x 8 ft. #2 Prime Prime Pressure-Treated Lumber","round2x2 pressure treated",2.67
2321,100410,"LG Electronics 12,000 BTU Window Air Conditioner with Remote","12000 btuair conditioners window",2.67
2409,100423,"LG Electronics 10,000 BTU Portable Air Conditioner and Dehumidifier Function with Remote Control in White (72 Pints/Day)","lg window ac model lvv6014er",1.67
2421,100425,"11 ft. Pressure-Treated Pine Split Rail","fencde posts",2.67
2435,100427,"RDI Porch and Newel 48 in. x 4 in. x 4 in. Vinyl Turned Fence Post Sleeve","porch post",2
2449,100429,"HDX 4-Shelf 36 in. W x 14 in. L x 54 in. H Storage Unit","metal carport",1.33
2453,100429,"HDX 4-Shelf 36 in. W x 14 in. L x 54 in. H Storage Unit","plastic untility shelves",2.67
2462,100430,"Plytanium Plywood Siding Panel T1-11 8 IN OC (Common: 19/32 in. x 4 ft. x 8 ft.; Actual: 0.563 in. x 48 in. x 96 in.)","plywoods",2.67
2468,100431,"Home Accents Holiday 20 ft. Noble Fir Artificial Garland with 100 Clear Lights","artificial",2
2500,100440,"NuImage Awnings 4 ft. 3700 Series Fabric Window Awning (23 in. H x 18 in. D) in Forest Green/Beige/Natural Fancy Stripe","awnings",3
2507,100442,"855 1/4 in. x 1-3/8 in. x 8 ft. PVC Composite White FRP Divider Moulding","frp",1.67
2540,100447,"Edsal 4-Shelf 36 in. W x 60 in. H x 18 in. D Steel Shelving Unit","steel shelving",3
2556,100450,"Danze Parma Side Mount Single-Handle Pull-Down Sprayer Kitchen Faucet in Stainless Steel","kitchen sink faucet",3
2562,100451,"St Nick&#39;s Choice 30 in. Absorbent Round Tree Mat","christmas tree stand that spins",1.67
2575,100457,"MD Building Products 1 ft. x 2 ft. Satin Nick Elliptical Aluminum Sheet","aluminum sheets",3
2581,100458,"5/32 in. x 48 in. x 96 in. Lake Shore Prefinished MDF Wall Panel","4x9ft wall paneling",2
2582,100458,"5/32 in. x 48 in. x 96 in. Lake Shore Prefinished MDF Wall Panel","MDF 4x8",2
2592,100459,"DEWALT 20-Volt Max Lithium-Ion 1/2 in. High Torque Impact Wrench with Detent Pin (Tool-Only)","impact wrench",3
2622,100462,"Masonite 32 in. x 80 in. Smooth Flush Unfinished Hardwood Solid Core Birch Veneer Composite Interior Door Slab","blank door birch",2
2626,100462,"Masonite 32 in. x 80 in. Smooth Flush Unfinished Hardwood Solid Core Birch Veneer Composite Interior Door Slab","solid core slab",3
2636,100463,"Hampton Bay Posada 7-Piece Patio Dining Set with Gray Cushions","paito table and chairs",2.67
2642,100464,"Grace Ice &amp; Water Shield HT 36 in. x 75 ft. (225 sq. ft.) Roll Roofing Underlayment in Black","rolled roofing",2.33
2657,100466,"Greenes Fence 2 in. Wood EZ Trim Garden Fence Rail","rounds",1
2670,100468,"Glacier Bay 2-piece 1.28 GPF High Efficiency Round Toilet in White","glaciar bay toiled",3
2685,100468,"Glacier Bay 2-piece 1.28 GPF High Efficiency Round Toilet in White","petite round toilet  white",2.67
2704,100471,"Shark Rotator Professional Lift-Away Vacuum Cleaner","henry vacuum cleaner hvr200",2
2708,100471,"Shark Rotator Professional Lift-Away Vacuum Cleaner","vaccum for dw745",2
2712,100472,"18 in. x 80 in. Flush Hardwood Unfinished Hollow Core Interior Door Slab","unfinished interior doors",3
2741,100479,"ClosetMaid Selectives 24 in. White Stackable Storage Organizer","CLOSET SHOE ORGANIZER",3
2744,100479,"ClosetMaid Selectives 24 in. White Stackable Storage Organizer","closetmaid",3
2752,100480,"Cub Cadet 3X 26 in. 357cc 3-Stage Electric Start Gas Snow Blower with Power Steering and Heated Grips","cub cadet special financing",2.33
2755,100480,"Cub Cadet 3X 26 in. 357cc 3-Stage Electric Start Gas Snow Blower with Power Steering and Heated Grips","snow blower clog",2.33
2782,100486,"Defiant Hartford Satin Nickel Privacy Knob","interior door lcoks",2.33
2798,100489,"GREE High Efficiency 12,000 BTU 1 Ton Ductless Mini Split Air Conditioner with Heat, Inverter and Remote - 208-230V/60Hz","air conditioner with heat",2.33
2833,100498,"Wilsonart 48 in. x 96 in. Laminate Sheet in Breccia Nouvelle Quarry","kitchen laminate sheet  countertop",2
2847,100501,"Ring Wireless Video Door Bell","door bell",3
2866,100506,"Sheetrock UltraLight 1/2 in. x 4 ft. x 12 ft. Gypsum Board","drywall 4x12",3
2867,100506,"Sheetrock UltraLight 1/2 in. x 4 ft. x 12 ft. Gypsum Board","Gypsum Board Materials",2.67
2871,100508,"Vigoro 2 cu. ft. Red Mulch","2 c.u red mulch",3
2872,100508,"Vigoro 2 cu. ft. Red Mulch","ceder mulch",2
2880,100509,"Classic Stone 10 ft. x 10 ft. Sandcrete Natural Pattern Tan Blend Concrete Patio on a Pallet","concrete stones",2.33
2892,100510,"Ideal Pet 15 in. x 20 in. Super Large Mill Aluminum Pet Patio Door Fits 77.6 in. to 80.4 in. Standard Alum Slider","Sliding Door Screening",2.33
2894,100510,"Ideal Pet 15 in. x 20 in. Super Large Mill Aluminum Pet Patio Door Fits 77.6 in. to 80.4 in. Standard Alum Slider","sliding patio screen doors",2
2895,100511,"Rust-Oleum Specialty 30 oz. Ultra-Matte Interior Chalked, Topcoat Clear (2-Pack)","chalk paint",2.33
2944,100522,"Everbilt 130 lb. Extension Springs (2-Pack)","garage door opener parts",2.67
2964,100523,"JELD-WEN Premium 6 Lite Primed White Steel Prehung Front Door with Brickmold and Shelf","prehung steel door",2.67
2966,100524,"Hampton Bay Rhodes 28 in. Bronze Table Lamp","hampton bay hb4190 lamp",2.33
2973,100525,"Toro TimeCutter SS4225 42 in. 22 HP Kohler Zero-Turn Riding Mower with Smart Speed","lawn tractor",3
2976,100525,"Toro TimeCutter SS4225 42 in. 22 HP Kohler Zero-Turn Riding Mower with Smart Speed","ridiing lawnmower",2.33
2990,100526,"1/16 in. x 4 ft. x 8 ft. Plastic Panel","decorative ceiling tiles",1.67
3002,100526,"1/16 in. x 4 ft. x 8 ft. Plastic Panel","vinyl boards",1.33
3017,100527,"Linzer 5 in. Flat Stain Block Brush","deck stain brush",2.67
3026,100528,"Gorilla Ladders 3-Step Aluminum Step Stool Ladder with 225 lb. Type II Duty Rating","step ladder for fat people",2.67
3030,100529,"Linzer 3 in. Chip Brush","throwaway chip brush 3",2.67
3050,100536,"Rheem Performance Platinum 50 Gal. Tall 12 Year 40,000 BTU Energy Star Natural Gas Water Heater","40 gal natural gas water heater",2.33
3056,100536,"Rheem Performance Platinum 50 Gal. Tall 12 Year 40,000 BTU Energy Star Natural Gas Water Heater","heater gas",3
3096,100540,"American Standard EverClean 5 ft. x 32.75 in. Reversible Drain Whirlpool Tub in White","american standard t55.521.224",2
3114,100544,"Zenith 16 in. x 24 in. Frameless Mirrored Swing Door Recessed Medicine Cabinet","medicine cabinet mirror",2.67
3136,100550,"DuraHeat Multi Fit Replacement Wick","robutussin dh 835 replacement wick",2.67
3144,100552,"1/4 in. x 48 in. x 96 in. Kingston Brick Wall Panel","chinking for bricks",1.67
3159,100554,"TrafficMASTER Portland Stone Gray 12 in. x 24 in. Glazed Ceramic Floor and Wall Tile (15.01 sq. ft. / case)","ceramic tile floors",3
3170,100556,"Samsung 4.0 cu. ft. Top Load Washer in White, Non ENERGY STAR","washer dryer sets",2.67
3181,100557,"Grace Ice &amp; Water Shield 36 in. x 75 ft. (225 sq. ft.) Roll Roofing Underlayment in Black","roof ridge",2.33
3190,100559,"DUROCK 36 in. x 50 ft. Waterproofing Membrane","durock",3
3194,100561,"Safavieh Carpet to Carpet White 8 ft. x 10 ft. Rug Pad","carpet  to carpet tape",2.67
3202,100562,"Daltile Briton Bone 2 in. x 6 in. Bullnose Wall Tile","bullnose tile",3
3211,100564,"DryConn Large Waterproof Wire Connectors - Aqua/Blue (20-Pack)","waterproof wire connector",3
3215,100565,"DuraHeat 23,000 BTU Kerosene Portable Heater","keorsene heater wicks",1
3227,100567,"Rayovac 3D LED Indestructible Lantern with Battery","batteries rayovac",2.67
3256,100573,"4 in. x 4 in. x 5-1/3 ft. Pressure-Treated Pine 2-Hole Fence End Post","2x2 treated posts",2.33
3270,100574,"UltraTouch 48 in. x 75 in. Denim Insulation Hot Water Heater Blanket","water heater blanket",3
3314,100582,"Whirlpool 30 in. Radiant Electric Cooktop in Black with 4 Elements including an AccuSimmer Element","stovetop",2
3315,100582,"Whirlpool 30 in. Radiant Electric Cooktop in Black with 4 Elements including an AccuSimmer Element","whirlpool  electric range 30  drop-in model rs675pxgb8",1.67
3341,100590,"Home Decorators Collection Rosengrant 59.5 in. Media Console Electric Fireplace in Walnut with Reversible Wine Shelves","fireplace tv stands",3
3356,100593,"Hampton Bay Legion 1,000 sq. ft. Panoramic Infrared Electric Stove","infered heaters",3
3391,100599,"Roundup 32 oz. Concentrate Weed and Grass Killer","rounds",1.33
3407,100601,"Liberty 2 in. x 2-3/4 in. Nickel Self Closing Overlay Hinges (10-Pack)","fire door hinge self closing",2.33
3411,100601,"Liberty 2 in. x 2-3/4 in. Nickel Self Closing Overlay Hinges (10-Pack)","kitchen cabinet hinge",2.67
3412,100601,"Liberty 2 in. x 2-3/4 in. Nickel Self Closing Overlay Hinges (10-Pack)","kitchen cupboards hinges",2.33
3422,100603,"Diablo 12 in. x 80-Tooth Finishing Saw Blade","freud saw blades",2.67
3471,100609,"Maglite Black LED 2D Flashlight","maglite LED flashlight",3
3475,100610,"Westinghouse 2-Light Brushed Nickel Flush-Mount Interior with Pull Chain and Frosted Fluted Glass","construction light chain",1.67
3507,100615,"Dyna-Glo 18,000 BTU Propane Cabinet Gas Portable Heater","instant  waater heater gas lp",2.33
3509,100615,"Dyna-Glo 18,000 BTU Propane Cabinet Gas Portable Heater","mr heater",2.33
3535,100619,"Samsung 4.2 cu. ft. High-Efficiency Front Load Washer in White, ENERGY STAR","samsung front load dryer",2.33
3536,100619,"Samsung 4.2 cu. ft. High-Efficiency Front Load Washer in White, ENERGY STAR","samsung front load washer 3.7",2
3541,100619,"Samsung 4.2 cu. ft. High-Efficiency Front Load Washer in White, ENERGY STAR","washer dryer set",2.33
3553,100622,"3M Super 77 16.75 fl. oz. Multi-Purpose Spray Adhesive","repositionable spray adhesives",1.67
3558,100623,"Duck Covers Ultimate 76 in. Square Patio Table and Chair Set Cover","table with cover",2.33
3561,100624,"4 in. x 4 in. x 6 ft. Pressure-Treated Cedar-Tone Moulded Fence Post","4 x 4 posts",2.67
3564,100624,"4 in. x 4 in. x 6 ft. Pressure-Treated Cedar-Tone Moulded Fence Post","4x4 wood",2.67
3570,100624,"4 in. x 4 in. x 6 ft. Pressure-Treated Cedar-Tone Moulded Fence Post","post 4x4 6ft",3
3578,100625,"Delta Prelude 2-piece 1.28 GPF Round Front Toilet in White","delta riosa toilet",2.67
3604,100628,"KOHLER Cimarron 2-piece 1.28 GPF Single Flush Round Toilet in White","toilet bowl",3
3610,100629,"Hardboard Tempered Panel (Common: 1/8 in. 4 ft. x 8 ft.,; Actual: 0.115 in. x 47.7 in. x 95.7 in.)","4x8wood paneling",2.67
3612,100629,"Hardboard Tempered Panel (Common: 1/8 in. 4 ft. x 8 ft.,; Actual: 0.115 in. x 47.7 in. x 95.7 in.)","hardiboard siding",1.67
3643,100635,"RIDGID GEN5X Brushless 18-Volt Compact Hammer Drill/Driver and 3-Speed Impact Driver Combo Kit","hammer drills and driver impact combo",2.33
3678,100642,"DuraHeat Plastic Siphon Pump","keorsene heater wicks",2.67
3683,100644,"Crown Bolt 1/8 in. x 50 ft. Blue Paracord","paracord",2.67
3690,100646,"Crown Bolt 5/32 in. x 75 ft. Diamond Braid Camouflage Cord","paracord",2.5
